,invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth,issue_date_format,due_in_date_format,clear_date_format,time_taken_for_payment,payment_category,sector_format,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays
929,1929634944.0,200555117,BURR co,,2019,7/19/19,20190803,USD,86200.93,08/05/19 0:00,0,,2019-07-19,2019-08-03,2019-08-05,2.0,Late,AllSectors,15,86200.93,0,0.0,1,169.24545454545452,2,38100.79047619048,0,0.0,0,0.0
930,1929380216.0,200769623,WAL-MAR llc,Retail,2019,5/26/19,20190610,USD,29541.96,06/11/19 0:00,0,,2019-05-26,2019-06-10,2019-06-11,1.0,Late,Retail,15,29541.96,59,19679.76040609137,1,11085.927272727273,9,21682.39230769231,1,791.8272727272727,0,0.0
931,1929982360.0,200803720,DEC ,,2019,10/08/19,20191024,USD,43.08,10/16/19 0:00,0,,2019-10-08,2019-10-24,2019-10-16,-8.0,Early,AllSectors,16,43.08,8,2449.21975308642,0,0.0,2,13156.695238095237,0,0.0,0,0.0
932,1930052683.0,200795490,HY -  llc,,2019,10/25/19,20191109,USD,55611.36,11/12/19 0:00,0,,2019-10-25,2019-11-09,2019-11-12,3.0,Late,AllSectors,15,55611.36,0,0.0,0,0.0,2,86019.47142857143,0,0.0,0,0.0
934,1929587244.0,200769623,WAL-MAR us,Retail,2019,07/05/19,20190720,USD,52804.65,7/24/19 0:00,0,,2019-07-05,2019-07-20,2019-07-24,4.0,Late,Retail,15,52804.65,78,22200.330217669652,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
935,1928893899.0,200592182,DECA in,,2019,03/04/19,20190324,USD,4098.25,3/18/19 0:00,0,,2019-03-04,2019-03-24,2019-03-18,-6.0,Early,AllSectors,20,4098.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
936,1928780290.0,200794332,COST foundation,,2019,2/13/19,20190228,USD,10104.04,2/27/19 0:00,0,,2019-02-13,2019-02-28,2019-02-27,-1.0,Early,AllSectors,15,10104.04,0,0.0,1,18688.30909090909,1,7274.154545454545,0,0.0,0,0.0
937,1929890946.0,200764795,SYSCO  llc,,2019,9/18/19,20191003,USD,43253.5,10/01/19 0:00,0,,2019-09-18,2019-10-03,2019-10-01,-2.0,Early,AllSectors,15,43253.5,0,0.0,0,0.0,1,26236.763636363634,0,0.0,0,0.0
938,1929353352.0,200416837,DEC co,,2019,5/21/19,20190526,USD,452.82,5/25/19 0:00,0,,2019-05-21,2019-05-26,2019-05-25,-1.0,Early,AllSectors,5,452.82,1,516.3272727272728,0,0.0,1,18961.081818181814,0,0.0,0,0.0
939,2960543392.0,140104423,METRO  associates,,2019,4/24/19,20190505,CAD,179330.62,05/07/19 0:00,0,,2019-04-24,2019-05-05,2019-05-07,2.0,Late,AllSectors,11,130911.3526,3,123594.56129032258,0,0.0,0,0.0,0,0.0,0,0.0
940,1930040278.0,200769623,WAL-MAR in,Retail,2019,10/26/19,20191110,USD,71128.23,11/05/19 0:00,0,,2019-10-26,2019-11-10,2019-11-05,-5.0,Early,Retail,15,71128.23,126,23793.411340206178,1,11085.927272727273,22,25025.67285067873,1,791.8272727272727,0,0.0
941,1929500804.0,200769623,WAL-MAR corp,Retail,2019,6/18/19,20190703,USD,17662.12,6/28/19 0:00,0,,2019-06-18,2019-07-03,2019-06-28,-5.0,Early,Retail,15,17662.12,70,20325.204707560628,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0
942,1928888616.0,200793568,SUPE associates,,2019,03/02/19,20190506,USD,6112.99,3/19/19 0:00,0,,2019-03-02,2019-05-06,2019-03-19,-48.0,Early,AllSectors,65,6112.99,0,0.0,0,0.0,1,9239.063636363635,0,0.0,0,0.0
943,2960565834.0,140105847,GORDON F systems,,2019,7/16/19,20190727,CAD,30875.1,08/02/19 0:00,0,,2019-07-16,2019-07-27,2019-08-02,6.0,Late,AllSectors,11,22538.822999999997,0,0.0,0,0.0,2,28658.595238095237,0,0.0,0,0.0
945,1930560083.0,200772670,ASSOCIAT ,,2020,2/23/20,20200309,USD,33520.3,03/09/20 0:00,0,,2020-02-23,2020-03-09,2020-03-09,0.0,OnTime,AllSectors,15,33520.3,3,55643.96129032257,5,27217.262745098044,16,43882.92049689441,0,0.0,0,0.0
946,1930391257.0,200769623,WAL-MAR llc,Retail,2020,1/13/20,20200128,USD,32260.93,1/24/20 0:00,0,,2020-01-13,2020-01-28,2020-01-24,-4.0,Early,Retail,15,32260.93,165,23635.06511205329,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0
947,1928992166.0,200794332,COST corporation,,2019,3/23/19,20190407,USD,39165.33,04/08/19 0:00,0,,2019-03-23,2019-04-07,2019-04-08,1.0,Late,AllSectors,15,39165.33,1,9185.49090909091,1,18688.30909090909,1,7274.154545454545,0,0.0,0,0.0
948,1929682324.0,200331749,SYSC in,,2019,7/31/19,20190820,USD,16156.49,8/21/19 0:00,0,,2019-07-31,2019-08-20,2019-08-21,1.0,Late,AllSectors,20,16156.49,0,0.0,0,0.0,2,8622.214285714286,0,0.0,0,0.0
949,1929258016.0,200592182,DECA systems,,2019,05/04/19,20190524,USD,3118.63,5/16/19 0:00,0,,2019-05-04,2019-05-24,2019-05-16,-8.0,Early,AllSectors,20,3118.63,2,5590.9333333333325,0,0.0,0,0.0,0,0.0,0,0.0
950,1929279649.0,200020431,DEC co,,2019,05/08/19,20190511,USD,16465.98,05/10/19 0:00,0,,2019-05-08,2019-05-11,2019-05-10,-1.0,Early,AllSectors,3,16465.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
951,2960587707.0,100015818,MET llc,,2019,10/20/19,20191101,CAD,60538.4,10/31/19 0:00,0,,2019-10-20,2019-11-01,2019-10-31,-1.0,Early,AllSectors,12,44193.032,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
953,1929588738.0,200711029,WEGMAN corp,,2019,07/09/19,20190724,USD,21760.18,7/24/19 0:00,0,,2019-07-09,2019-07-24,2019-07-24,0.0,OnTime,AllSectors,15,21760.18,0,0.0,2,12367.590476190475,0,0.0,0,0.0,0,0.0
954,1929612944.0,200769623,WAL-MAR in,Retail,2019,07/12/19,20190727,USD,57558.02,7/24/19 0:00,0,,2019-07-12,2019-07-27,2019-07-24,-3.0,Early,Retail,15,57558.02,82,22371.34275274056,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0
955,1928565191.0,200729290,KROGER co,,2019,01/05/19,20190120,USD,19047.56,1/22/19 0:00,0,,2019-01-05,2019-01-20,2019-01-22,2.0,Late,AllSectors,15,19047.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
958,1929169812.0,200769623,WAL-MAR trust,Retail,2019,4/20/19,20190505,USD,1897.5,4/30/19 0:00,0,,2019-04-20,2019-05-05,2019-04-30,-5.0,Early,Retail,15,1897.5,44,21166.0328798186,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0
959,1929760777.0,200230690,DECA systems,,2019,8/19/19,20190908,USD,106.56,09/03/19 0:00,0,,2019-08-19,2019-09-08,2019-09-03,-5.0,Early,AllSectors,20,106.56,2,1687.4666666666665,0,0.0,2,2261.8238095238094,0,0.0,0,0.0
960,1929951699.0,200771123,B C C foundation,,2019,10/02/19,20191017,USD,38160.69,10/16/19 0:00,0,,2019-10-02,2019-10-17,2019-10-16,-1.0,Early,AllSectors,15,38160.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
961,1928826303.0,200705089,JETR us,,2019,2/19/19,20190306,USD,14368.86,03/11/19 0:00,0,,2019-02-19,2019-03-06,2019-03-11,5.0,Late,AllSectors,15,14368.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
962,1930152978.0,200705089,JETR corp,,2019,11/14/19,20191129,USD,15791.12,11/29/19 0:00,0,,2019-11-14,2019-11-29,2019-11-29,0.0,OnTime,AllSectors,15,15791.12,0,0.0,2,13921.485714285714,1,13062.6,0,0.0,0,0.0
963,1929285161.0,200769623,WAL-MAR co,Retail,2019,05/09/19,20190524,USD,2725.63,5/20/19 0:00,0,,2019-05-09,2019-05-24,2019-05-20,-4.0,Early,Retail,15,2725.63,52,19597.134357005765,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0
964,1928733426.0,100031704,DELHAIZE in,,2019,02/06/19,20190412,USD,640.0,04/12/19 0:00,0,,2019-02-06,2019-04-12,2019-04-12,0.0,OnTime,AllSectors,65,640.0,1,54502.93636363636,0,0.0,1,15665.02727272727,0,0.0,0,0.0
965,1928931117.0,200078795,H T H in,,2019,03/08/19,20190512,USD,298.33,3/22/19 0:00,0,,2019-03-08,2019-05-12,2019-03-22,-51.0,Early,AllSectors,65,298.33,0,0.0,0,0.0,1,1086.7272727272727,0,0.0,0,0.0
966,1930227370.0,200769623,WAL-MAR systems,Retail,2019,12/07/19,20191222,USD,683.91,12/17/19 0:00,0,,2019-12-07,2019-12-22,2019-12-17,-5.0,Early,Retail,15,683.91,146,23977.61950718685,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
967,1929944651.0,200781831,RITE llc,,2019,9/30/19,20191015,USD,50383.76,10/16/19 0:00,0,,2019-09-30,2019-10-15,2019-10-16,1.0,Late,AllSectors,15,50383.76,0,0.0,1,79109.7,1,81340.2,0,0.0,0,0.0
968,1929565676.0,200769623,WAL-MAR foundation,Retail,2019,07/02/19,20190717,USD,30927.52,7/15/19 0:00,0,,2019-07-02,2019-07-17,2019-07-15,-2.0,Early,Retail,15,30927.52,76,22209.087647831802,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
969,2960531225.0,140104440,SO corp,,2019,2/26/19,20190309,CAD,1129.29,3/14/19 0:00,0,,2019-02-26,2019-03-09,2019-03-14,5.0,Late,AllSectors,11,824.3816999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
970,2960541173.0,140104440,SO systems,,2019,04/12/19,20190422,CAD,159076.46,05/06/19 0:00,0,,2019-04-12,2019-04-22,2019-05-06,14.0,Late,AllSectors,10,116125.8158,0,0.0,0,0.0,1,1026.6272727272726,0,0.0,0,0.0
971,1928573647.0,100016691,BAY  corp,,2019,01/04/19,20190203,USD,15842.4,02/01/19 0:00,0,,2019-01-04,2019-02-03,2019-02-01,-2.0,Early,AllSectors,30,15842.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
972,1928896683.0,200769623,WAL-MAR trust,Retail,2019,03/07/19,20190322,USD,1367.02,3/18/19 0:00,0,,2019-03-07,2019-03-22,2019-03-18,-4.0,Early,Retail,15,1367.02,29,16389.271134020615,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0
974,1930413079.0,200772595,SAFEW corporation,,2020,1/18/20,20200202,USD,138997.94,02/03/20 0:00,0,,2020-01-18,2020-02-02,2020-02-03,1.0,Late,AllSectors,15,138997.94,0,0.0,1,39251.64545454545,4,40943.96585365854,0,0.0,0,0.0
975,1929577383.0,200769623,WAL-MAR corp,Retail,2019,07/05/19,20190720,USD,1273.44,7/16/19 0:00,0,,2019-07-05,2019-07-20,2019-07-16,-4.0,Early,Retail,15,1273.44,78,22200.330217669652,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
976,1930010090.0,200769623,WAL-MAR corp,Retail,2019,10/15/19,20191030,USD,40127.37,10/28/19 0:00,0,,2019-10-15,2019-10-30,2019-10-28,-2.0,Early,Retail,15,40127.37,121,24177.987778695282,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0
977,1929542356.0,200762301,C&S WH co,,2019,6/27/19,20190712,USD,16962.09,07/11/19 0:00,0,,2019-06-27,2019-07-12,2019-07-11,-1.0,Early,AllSectors,15,16962.09,2,11963.019047619047,4,52716.85609756099,3,29862.364516129033,0,0.0,0,0.0
978,1930471366.0,200732755,KROGER co,,2020,02/04/20,20200219,USD,17745.75,2/19/20 0:00,0,,2020-02-04,2020-02-19,2020-02-19,0.0,OnTime,AllSectors,15,17745.75,0,0.0,0,0.0,1,100246.67272727271,0,0.0,0,0.0
979,1929157017.0,200508557,FOODL us,,2019,4/23/19,20190508,USD,1643.11,05/08/19 0:00,0,,2019-04-23,2019-05-08,2019-05-08,0.0,OnTime,AllSectors,15,1643.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
981,1929051880.0,200744019,TARG systems,,2019,3/31/19,20190415,USD,18759.49,4/16/19 0:00,0,,2019-03-31,2019-04-15,2019-04-16,1.0,Late,AllSectors,15,18759.49,0,0.0,0,0.0,4,41181.480487804874,0,0.0,0,0.0
982,1930196873.0,CCCA02,KRAFT  associates,,2019,11/27/19,20200101,USD,7723.2,12/20/19 0:00,0,,2019-11-27,2020-01-01,2019-12-20,-12.0,Early,AllSectors,35,7723.2,2,9910.714285714284,1,14768.30909090909,7,29772.023943661974,0,0.0,0,0.0
983,1928595498.0,200915438,GROC us,,2019,1/14/19,20190129,USD,7251.5,1/29/19 0:00,0,,2019-01-14,2019-01-29,2019-01-29,0.0,OnTime,AllSectors,15,7251.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
984,1928819504.0,200418007,AM llc,,2019,2/19/19,20190306,USD,420.0,03/06/19 0:00,0,,2019-02-19,2019-03-06,2019-03-06,0.0,OnTime,AllSectors,15,420.0,0,0.0,0,0.0,1,7081.872727272727,0,0.0,0,0.0
986,1930527162.0,200769623,WAL-MAR associates,Retail,2020,2/15/20,20200301,USD,65037.69,2/25/20 0:00,0,,2020-02-15,2020-03-01,2020-02-25,-5.0,Early,Retail,15,65037.69,183,23768.4890770071,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0
987,1930358138.0,200020431,DEC co,,2020,01/06/20,20200111,USD,7622.26,01/09/20 0:00,0,,2020-01-06,2020-01-11,2020-01-09,-2.0,Early,AllSectors,5,7622.26,3,10127.954838709677,0,0.0,1,1697.3818181818178,0,0.0,0,0.0
988,1928890862.0,200777735,NASH  corporation,,2019,03/03/19,20190318,USD,771.62,3/18/19 0:00,0,,2019-03-03,2019-03-18,2019-03-18,0.0,OnTime,AllSectors,15,771.62,1,128.0090909090909,0,0.0,0,0.0,0,0.0,0,0.0
989,1930100092.0,200794332,COST us,,2019,11/06/19,20191121,USD,28743.91,11/20/19 0:00,0,,2019-11-06,2019-11-21,2019-11-20,-1.0,Early,AllSectors,15,28743.91,7,23158.711267605635,4,12959.068292682929,5,19066.343137254906,0,0.0,0,0.0
992,1929486851.0,200726979,BJ'S  trust,,2019,6/14/19,20190629,USD,524.31,07/01/19 0:00,0,,2019-06-14,2019-06-29,2019-07-01,2.0,Late,AllSectors,15,524.31,0,0.0,9,12280.932967032968,9,11593.056043956043,0,0.0,0,0.0
993,1930426942.0,200416837,DEC associates,,2020,1/22/20,20200208,USD,286.7,02/03/20 0:00,0,,2020-01-22,2020-02-08,2020-02-03,-5.0,Early,AllSectors,17,286.7,5,2251.4392156862746,0,0.0,1,18961.081818181814,0,0.0,0,0.0
994,1929225565.0,200769623,WAL-MAR foundation,Retail,2019,4/29/19,20190514,USD,5123.95,05/09/19 0:00,0,,2019-04-29,2019-05-14,2019-05-09,-5.0,Early,Retail,15,5123.95,47,20855.470912951172,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0
995,1929802467.0,200936373,SUPE corporation,,2019,8/30/19,20190914,USD,133776.12,9/18/19 0:00,0,,2019-08-30,2019-09-14,2019-09-18,4.0,Late,AllSectors,15,133776.12,0,0.0,2,28117.819047619047,2,52363.55714285714,0,0.0,0,0.0
997,1991821988.0,140101584,DICK trust,,2019,2/23/19,20190409,USD,8528.63,04/10/19 0:00,0,,2019-02-23,2019-04-09,2019-04-10,1.0,Late,AllSectors,45,8528.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
998,1929595029.0,200759878,SA corp,,2019,07/10/19,20190725,USD,49946.74,7/25/19 0:00,0,,2019-07-10,2019-07-25,2019-07-25,0.0,OnTime,AllSectors,15,49946.74,0,0.0,2,68668.69523809524,8,26240.476543209876,0,0.0,0,0.0
1000,1928660708.0,200747369,SCHNU corp,,2019,1/22/19,20190206,USD,5137.63,02/05/19 0:00,0,,2019-01-22,2019-02-06,2019-02-05,-1.0,Early,AllSectors,15,5137.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1001,1930288493.0,200769623,WAL-MAR foundation,Retail,2019,12/17/19,20200101,USD,8401.19,12/27/19 0:00,0,,2019-12-17,2020-01-01,2019-12-27,-5.0,Early,Retail,15,8401.19,160,23510.838163647713,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
1002,1929430742.0,200712105,WALG co,,2019,06/04/19,20190619,USD,12738.78,6/20/19 0:00,0,,2019-06-04,2019-06-19,2019-06-20,1.0,Late,AllSectors,15,12738.78,0,0.0,1,44166.52727272727,0,0.0,0,0.0,0,0.0
1003,1929753971.0,200759878,SA ,,2019,8/18/19,20190902,USD,14800.28,09/04/19 0:00,0,,2019-08-18,2019-09-02,2019-09-04,2.0,Late,AllSectors,15,14800.28,0,0.0,4,67404.30731707318,14,37653.912056737594,0,0.0,0,0.0
1004,2960542004.0,140104249,SOB systems,,2019,04/12/19,20190430,CAD,17818.3,05/08/19 0:00,0,,2019-04-12,2019-04-30,2019-05-08,8.0,Late,AllSectors,18,13007.358999999999,0,0.0,0,0.0,1,21863.627272727274,0,0.0,0,0.0
1005,1930396651.0,200093491,WISCO foundation,,2020,1/14/20,20200129,USD,103125.0,1/29/20 0:00,0,,2020-01-14,2020-01-29,2020-01-29,0.0,OnTime,AllSectors,15,103125.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1006,1930545607.0,200152991,JET us,,2020,2/19/20,20200310,USD,4994.95,03/10/20 0:00,0,,2020-02-19,2020-03-10,2020-03-10,0.0,OnTime,AllSectors,20,4994.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1007,2960583365.0,140104340,COLABOR  us,,2019,10/02/19,20191013,CAD,30457.27,10/10/19 0:00,0,,2019-10-02,2019-10-13,2019-10-10,-3.0,Early,AllSectors,11,22233.807099999998,1,296.7181818181818,0,0.0,3,19043.287096774195,1,6162.818181818182,0,0.0
1008,1930281127.0,200795490,HY -  co,,2019,12/13/19,20191228,USD,98913.14,12/30/19 0:00,0,,2019-12-13,2019-12-28,2019-12-30,2.0,Late,AllSectors,15,98913.14,0,0.0,0,0.0,3,76210.40322580645,0,0.0,0,0.0
1009,1930135839.0,200769623,WAL-MAR llc,Retail,2019,11/11/19,20191126,USD,28232.05,11/22/19 0:00,0,,2019-11-11,2019-11-26,2019-11-22,-4.0,Early,Retail,15,28232.05,133,24056.053719008254,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0
1010,1928798351.0,200719526,SHARP S systems,,2019,2/15/19,20190302,USD,17701.5,03/01/19 0:00,0,,2019-02-15,2019-03-02,2019-03-01,-1.0,Early,AllSectors,15,17701.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1012,1929226198.0,200763489,GENERAL corporation,,2019,4/30/19,20190515,USD,32441.12,5/16/19 0:00,0,,2019-04-30,2019-05-15,2019-05-16,1.0,Late,AllSectors,15,32441.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1013,1991836114.0,140103385,SUPER  trust,,2019,11/29/19,20191229,USD,38179.67,12/23/19 0:00,0,,2019-11-29,2019-12-29,2019-12-23,-6.0,Early,AllSectors,30,38179.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1014,1930391750.0,200778870,C ,,2020,1/13/20,20200128,USD,3804.56,1/29/20 0:00,0,,2020-01-13,2020-01-28,2020-01-29,1.0,Late,AllSectors,15,3804.56,0,0.0,0,0.0,4,37339.90975609756,0,0.0,0,0.0
1015,1928920234.0,200786288,FAMILY systems,,2019,03/08/19,20190512,USD,10040.94,3/25/19 0:00,0,,2019-03-08,2019-05-12,2019-03-25,-48.0,Early,AllSectors,65,10040.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1016,2960554173.0,140104475,FOC corp,,2019,06/12/19,20190701,CAD,2704.53,07/12/19 0:00,0,,2019-06-12,2019-07-01,2019-07-12,11.0,Late,AllSectors,19,1974.3069,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1017,1930096592.0,200759878,SA us,,2019,11/06/19,20191121,USD,13524.16,11/22/19 0:00,0,,2019-11-06,2019-11-21,2019-11-22,1.0,Late,AllSectors,15,13524.16,0,0.0,6,53266.14262295082,17,35956.29181286549,0,0.0,0,0.0
1018,1929243004.0,200974851,RESTA associates,,2019,05/01/19,20190516,USD,376.35,5/21/19 0:00,0,,2019-05-01,2019-05-16,2019-05-21,5.0,Late,AllSectors,15,376.35,0,0.0,1,1533.3999999999999,0,0.0,0,0.0,0,0.0
1019,1929956747.0,200714710,SYSCO  foundation,,2019,10/04/19,20191019,USD,40960.18,10/21/19 0:00,0,,2019-10-04,2019-10-19,2019-10-21,2.0,Late,AllSectors,15,40960.18,3,16700.467741935485,0,0.0,3,12251.616129032258,0,0.0,0,0.0
1020,1930473664.0,200764795,SYSCO  associates,,2020,02/05/20,20200220,USD,24862.11,2/21/20 0:00,0,,2020-02-05,2020-02-20,2020-02-21,1.0,Late,AllSectors,15,24862.11,1,39321.36363636363,0,0.0,2,15176.457142857142,0,0.0,0,0.0
1021,1929790080.0,200769623,WAL-MAR us,Retail,2019,8/24/19,20190908,USD,51855.63,09/04/19 0:00,0,,2019-08-24,2019-09-08,2019-09-04,-4.0,Early,Retail,15,51855.63,100,23465.754145854142,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
1022,2960604636.0,CCU001,KRAFT  ,,2020,01/03/20,20200210,CAD,28220.4,2/28/20 0:00,0,,2020-01-03,2020-02-10,2020-02-28,18.0,Late,AllSectors,38,20600.892,0,0.0,0,0.0,1,28832.23636363636,0,0.0,0,0.0
1023,2960589253.0,140105686,SYSC trust,,2019,10/30/19,20191111,CAD,77867.24,11/14/19 0:00,0,,2019-10-30,2019-11-11,2019-11-14,3.0,Late,AllSectors,12,56843.0852,0,0.0,0,0.0,9,34045.23516483516,0,0.0,0,0.0
1024,2960550736.0,140106408,WAL-M ,,2019,5/24/19,20190604,CAD,195583.64,06/10/19 0:00,0,,2019-05-24,2019-06-04,2019-06-10,6.0,Late,AllSectors,11,142776.0572,0,0.0,0,0.0,6,25123.437704918033,0,0.0,0,0.0
1025,1930526840.0,200763814,SYSCO F ,,2020,2/13/20,20200228,USD,6786.5,03/02/20 0:00,0,,2020-02-13,2020-02-28,2020-03-02,3.0,Late,AllSectors,15,6786.5,1,2677.2454545454543,0,0.0,2,14395.371428571429,0,0.0,0,0.0
1026,1929387525.0,200704858,WAKE corporation,,2019,5/29/19,20190613,USD,71108.88,6/17/19 0:00,0,,2019-05-29,2019-06-13,2019-06-17,4.0,Late,AllSectors,15,71108.88,0,0.0,1,15927.381818181815,0,0.0,0,0.0,0,0.0
1027,1930552629.0,CCU013,KRAFT F corporation,,2020,2/22/20,20200222,USD,9838.08,3/27/20 0:00,0,,2020-02-22,2020-02-22,2020-03-27,34.0,VeryLate,AllSectors,0,9838.08,0,0.0,0,0.0,0,0.0,6,36315.03606557377,0,0.0
1028,1930210545.0,200769623,WAL-MAR co,Retail,2019,12/03/19,20191218,USD,60594.08,12/20/19 0:00,0,,2019-12-03,2019-12-18,2019-12-20,2.0,Late,Retail,15,60594.08,145,23899.22839421088,1,11085.927272727273,27,23809.477859778595,1,791.8272727272727,0,0.0
1029,1929154263.0,200794332,COST trust,,2019,4/17/19,20190502,USD,1222.75,05/02/19 0:00,0,,2019-04-17,2019-05-02,2019-05-02,0.0,OnTime,AllSectors,15,1222.75,2,20499.290476190476,2,19578.22857142857,2,22460.428571428572,0,0.0,0,0.0
1030,1930270289.0,200769623,WAL-MAR associates,Retail,2019,12/12/19,20191227,USD,18493.2,12/24/19 0:00,0,,2019-12-12,2019-12-27,2019-12-24,-3.0,Early,Retail,15,18493.2,155,23522.126499032875,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
1031,1928653042.0,200772670,ASSOCIAT corporation,,2019,1/21/19,20190205,USD,27030.55,02/05/19 0:00,0,,2019-01-21,2019-02-05,2019-02-05,0.0,OnTime,AllSectors,15,27030.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1032,1928946054.0,200759878,SA foundation,,2019,03/12/19,20190327,USD,51770.21,3/28/19 0:00,0,,2019-03-12,2019-03-27,2019-03-28,1.0,Late,AllSectors,15,51770.21,0,0.0,1,57069.42727272727,5,24588.7,0,0.0,0,0.0
1033,1929890501.0,200782001,GORDO corp,,2019,9/17/19,20191002,USD,18144.8,10/01/19 0:00,0,,2019-09-17,2019-10-02,2019-10-01,-1.0,Early,AllSectors,15,18144.8,1,19145.945454545454,0,0.0,2,18940.390476190474,0,0.0,0,0.0
1035,2960574946.0,140105686,SYSC trust,,2019,8/23/19,20190903,CAD,89814.73,09/12/19 0:00,0,,2019-08-23,2019-09-03,2019-09-12,9.0,Late,AllSectors,11,65564.75289999999,0,0.0,0,0.0,7,27026.53661971831,0,0.0,0,0.0
1036,1929881568.0,100001196,DOLLAR in,,2019,9/20/19,20191005,USD,13586.4,10/15/19 0:00,0,,2019-09-20,2019-10-05,2019-10-15,10.0,Late,AllSectors,15,13586.4,0,0.0,0,0.0,1,5110.099999999999,0,0.0,0,0.0
1037,1929998089.0,200705742,DOT llc,,2019,10/11/19,20191112,USD,41397.26,10/28/19 0:00,0,,2019-10-11,2019-11-12,2019-10-28,-15.0,Early,AllSectors,32,41397.26,5,12002.796078431373,3,8635.535483870968,2,15912.309523809523,0,0.0,0,0.0
1038,1930570054.0,200780383,MEIJ corporation,,2020,2/26/20,20200312,USD,22387.37,03/12/20 0:00,0,,2020-02-26,2020-03-12,2020-03-12,0.0,OnTime,AllSectors,15,22387.37,0,0.0,4,39590.6756097561,7,57430.30422535212,0,0.0,0,0.0
1040,1929400343.0,200761734,H E BUT trust,,2019,5/31/19,20190615,USD,14964.9,6/18/19 0:00,0,,2019-05-31,2019-06-15,2019-06-18,3.0,Late,AllSectors,15,14964.9,3,31161.69677419355,0,0.0,0,0.0,0,0.0,0,0.0
1041,1928870382.0,200769623,WAL-MAR in,Retail,2019,2/28/19,20190315,USD,19557.41,03/12/19 0:00,0,,2019-02-28,2019-03-15,2019-03-12,-3.0,Early,Retail,15,19557.41,25,15567.849003984062,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0
1042,1930191734.0,200048886,SHERWO co,,2019,11/25/19,20191210,USD,73216.23,12/12/19 0:00,0,,2019-11-25,2019-12-10,2019-12-12,2.0,Late,AllSectors,15,73216.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1043,1930558826.0,200936373,SUPE trust,,2020,2/22/20,20200308,USD,68419.98,03/09/20 0:00,0,,2020-02-22,2020-03-08,2020-03-09,1.0,Late,AllSectors,15,68419.98,0,0.0,4,45350.75853658537,5,55681.73921568628,0,0.0,0,0.0
1044,2960554507.0,140104440,SO us,,2019,06/12/19,20190624,CAD,66682.52,6/28/19 0:00,0,,2019-06-12,2019-06-24,2019-06-28,4.0,Late,AllSectors,12,48678.2396,0,0.0,0,0.0,4,104358.07560975612,0,0.0,0,0.0
