,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
1038,15,22387.37,0,0.0,4,39590.6756097561,7,57430.30422535212,0,0.0,0,0.0,0
1040,15,14964.9,3,31161.69677419355,0,0.0,0,0.0,0,0.0,0,0.0,0
1041,15,19557.41,25,15567.849003984062,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
1042,15,73216.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1043,15,68419.98,0,0.0,4,45350.75853658537,5,55681.73921568628,0,0.0,0,0.0,0
1044,12,48678.2396,0,0.0,0,0.0,4,104358.07560975612,0,0.0,0,0.0,0
1045,32,8126.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1047,20,13730.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1048,15,23897.25,185,24131.66898973528,1,11085.927272727273,36,24647.709972299162,1,791.8272727272727,0,0.0,2
1049,15,191999.14,0,0.0,1,135139.52727272728,0,0.0,0,0.0,0,0.0,0
1050,40,26518.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1051,10,39726.7606,1,296.7181818181818,0,0.0,1,3480.6454545454544,1,6162.818181818182,0,0.0,0
1052,10,6703.151999999999,0,0.0,0,0.0,0,0.0,3,23834.14193548387,1,107021.22727272726,0
1053,15,22466.36,2,16388.35238095238,0,0.0,0,0.0,0,0.0,0,0.0,2
1054,15,3010.12,1,39321.36363636363,0,0.0,1,26236.763636363634,0,0.0,0,0.0,0
1055,15,12430.45,176,23924.33134582623,1,11085.927272727273,32,22470.890342679122,1,791.8272727272727,0,0.0,2
1057,15,82206.66,0,0.0,3,62629.354838709674,11,35788.36576576577,0,0.0,0,0.0,0
1059,15,15609.19,122,24308.613349713338,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
1060,15,61849.57,85,22438.547473560513,1,11085.927272727273,17,21821.883040935674,1,791.8272727272727,0,0.0,2
1061,15,94895.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1065,10,14560.404799999998,0,0.0,0,0.0,9,47937.837362637365,0,0.0,0,0.0,0
1066,15,199.53,0,0.0,12,9326.320661157024,13,14516.26717557252,0,0.0,0,0.0,0
1067,10,2740.6682,0,0.0,0,0.0,3,136810.8935483871,0,0.0,0,0.0,0
1068,15,173755.57,0,0.0,1,39251.64545454545,5,60170.23529411765,0,0.0,0,0.0,0
1069,15,67417.08,0,0.0,2,82421.74285714286,0,0.0,0,0.0,0,0.0,0
1070,16,14886.101599999998,0,0.0,0,0.0,3,21842.154838709674,0,0.0,0,0.0,0
1072,15,186.17,0,0.0,0,0.0,1,432.4454545454545,0,0.0,0,0.0,0
1075,11,109111.1655,1,154251.21818181817,0,0.0,0,0.0,0,0.0,0,0.0,0
1076,15,50767.6,0,0.0,0,0.0,1,17315.963636363635,0,0.0,0,0.0,0
1077,15,44782.11,100,23465.754145854142,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
1078,35,42151.56,1,7003.636363636363,1,14768.30909090909,6,27742.59180327869,0,0.0,0,0.0,0
1079,15,16829.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1082,0,6811.24,0,0.0,0,0.0,0,0.0,5,42100.09411764706,0,0.0,0
1083,34,3712.99,3,2804.841935483871,3,8635.535483870968,1,10420.172727272728,0,0.0,0,0.0,0
1084,15,1328.25,157,23732.962953532777,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
1085,15,7466.94,59,19679.76040609137,1,11085.927272727273,11,22015.60900900901,1,791.8272727272727,0,0.0,2
1086,15,22456.09,94,23014.67874601487,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
1087,11,81400.256,3,123594.56129032258,0,0.0,1,163027.83636363634,0,0.0,0,0.0,0
1088,15,43343.91,46,20367.65227765727,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0,2
1089,32,2944.97,0,0.0,0,0.0,1,5473.136363636363,0,0.0,0,0.0,0
1091,15,3092.4,0,0.0,0,0.0,1,124402.99999999999,0,0.0,0,0.0,0
1093,11,32666.04,0,0.0,0,0.0,0,0.0,0,0.0,1,107021.22727272726,0
1094,15,11462.19,1,3320.3090909090906,3,8635.535483870968,0,0.0,0,0.0,0,0.0,0
1095,15,56602.67,58,19044.25421686747,1,11085.927272727273,9,21682.39230769231,1,791.8272727272727,0,0.0,2
1096,15,19002.25,3,55643.96129032257,5,27217.262745098044,15,45530.64701986755,0,0.0,0,0.0,0
1097,15,15673.51,39,19742.880818414324,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
1098,15,53616.34,0,0.0,1,4839.627272727273,0,0.0,0,0.0,0,0.0,0
1099,15,5701.62,1,2840.636363636363,0,0.0,0,0.0,0,0.0,0,0.0,0
1100,20,40783.56,7,18420.64647887324,4,8064.297560975611,2,15912.309523809523,0,0.0,0,0.0,0
1101,15,14890.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1103,15,9387.87,85,22438.547473560513,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0,2
1104,60,5678.23,0,0.0,0,0.0,1,7878.2363636363625,0,0.0,0,0.0,0
1105,15,38758.41,1,54502.93636363636,1,581.8181818181818,1,15665.02727272727,0,0.0,0,0.0,0
1106,15,45144.4,27,15862.281549815494,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
1107,0,66504.51,0,0.0,0,0.0,0,0.0,1,2904.881818181818,0,0.0,0
1108,15,232.08,0,0.0,4,27000.421951219512,8,10730.02962962963,0,0.0,0,0.0,0
1109,15,25585.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1110,15,16151.2,171,23787.764289888946,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
1111,15,7873.55,0,0.0,1,87341.51818181817,0,0.0,0,0.0,0,0.0,0
1114,15,42202.32,61,19800.890180032737,1,11085.927272727273,11,22015.60900900901,1,791.8272727272727,0,0.0,2
1115,32,14395.17,0,0.0,0,0.0,1,3374.072727272727,0,0.0,0,0.0,0
1116,65,1180.07,0,0.0,1,5086.472727272727,0,0.0,0,0.0,0,0.0,0
1117,15,2871.65,119,24148.720990764054,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
1118,12,2794.9583,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1121,15,3479.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1123,45,5344.32,1,3936.3272727272724,0,0.0,0,0.0,0,0.0,0,0.0,0
1125,15,421.78,0,0.0,0,0.0,3,27214.716129032262,0,0.0,0,0.0,0
1126,15,102080.18,0,0.0,2,3295.4761904761904,1,48742.127272727266,0,0.0,0,0.0,0
1128,15,46068.37,149,23885.63024815559,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
1129,15,42117.17,130,24179.9960799385,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
1130,14,7783.9462,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1131,15,38991.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1132,15,25837.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1133,15,140.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1134,15,27377.29,1,4670.572727272727,0,0.0,0,0.0,0,0.0,0,0.0,0
1135,15,20664.37,0,0.0,1,24573.22727272727,0,0.0,0,0.0,0,0.0,0
1136,15,116998.97,2,5714.328571428571,2,545.7904761904762,0,0.0,0,0.0,0,0.0,0
1137,15,485.06,161,23417.04767225325,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
1138,35,22704.0,1,7003.636363636363,0,0.0,0,0.0,0,0.0,0,0.0,0
1139,65,5231.91,3,13575.62258064516,9,54154.419780219774,6,28121.1,0,0.0,0,0.0,0
1140,15,31116.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1142,15,44531.53,13,20955.66641221374,0,0.0,2,23725.857142857145,1,791.8272727272727,0,0.0,2
1143,18,174.72,3,94.68387096774192,0,0.0,0,0.0,0,0.0,0,0.0,0
1144,18,3164.1119999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1145,15,53327.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1146,20,12322.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1147,15,70726.38,34,17384.21260997067,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
1148,15,41962.03,0,0.0,1,112337.77272727272,1,52880.35454545454,0,0.0,0,0.0,0
1149,15,13876.93,54,19165.40609981516,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
1151,15,41785.45,68,19618.935095447872,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
1154,15,53812.94,0,0.0,1,15734.099999999997,1,25752.64545454545,0,0.0,0,0.0,0
1155,15,114464.24,0,0.0,1,33059.781818181815,0,0.0,0,0.0,0,0.0,0
1157,15,61595.55,0,0.0,1,87341.51818181817,2,10770.419047619047,0,0.0,0,0.0,0
1158,15,14661.88,170,23841.414403292172,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
1159,15,58168.39,0,0.0,1,112337.77272727272,0,0.0,0,0.0,0,0.0,0
1160,15,51407.61,4,25092.643902439027,3,13657.106451612903,3,25472.81612903226,0,0.0,0,0.0,0
1161,15,42013.63,2,20499.290476190476,3,13657.106451612903,3,25472.81612903226,0,0.0,0,0.0,0
1162,15,4355.07,86,22723.866318234603,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
1163,15,9369.27,183,23768.4890770071,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
1164,15,19290.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1165,15,67944.33,0,0.0,0,0.0,2,33245.31428571429,0,0.0,0,0.0,0
1166,15,347.23,3,55643.96129032257,6,28250.547540983607,16,43882.92049689441,0,0.0,0,0.0,0
1167,15,518.6,0,0.0,10,11071.269306930693,12,8802.746280991736,0,0.0,0,0.0,0
1168,15,3124.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1169,15,34862.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1171,15,7549.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1174,15,19561.32,141,23708.975124025503,1,11085.927272727273,25,23626.40796812749,1,791.8272727272727,0,0.0,2
1175,17,195.0,6,3157.3836065573773,0,0.0,0,0.0,0,0.0,0,0.0,0
1176,15,35961.87,144,23815.518181818174,1,11085.927272727273,26,23470.657471264363,1,791.8272727272727,0,0.0,2
1178,15,143326.89,0,0.0,1,20446.436363636363,0,0.0,0,0.0,0,0.0,0
1179,30,1268.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1180,31,21060.54,0,0.0,0,0.0,2,18940.390476190474,0,0.0,0,0.0,0
1181,15,35.73,0,0.0,21,6667.830805687203,18,10693.99447513812,0,0.0,0,0.0,0
1183,15,35219.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1184,11,123863.7282,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1185,15,14627.23,181,23864.590060739924,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
1186,15,1897.5,117,23966.939368061478,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
1187,15,5233.56,3,13575.62258064516,6,61771.18196721311,5,33451.18235294118,0,0.0,0,0.0,0
1188,15,4129.98,61,19800.890180032737,1,11085.927272727273,11,22015.60900900901,1,791.8272727272727,0,0.0,2
1189,15,47697.3,80,22223.12147315855,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0,2
1190,15,50578.26,3,55643.96129032257,1,24573.22727272727,6,49102.45573770492,0,0.0,0,0.0,0
1191,15,2646.37,3,55643.96129032257,2,36956.57619047619,7,54952.23943661972,0,0.0,0,0.0,0
1193,32,82015.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1195,75,108.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1196,2,6766.67,3,4793.416129032258,0,0.0,0,0.0,0,0.0,0,0.0,0
1197,15,76444.16,3,13575.62258064516,5,69920.16470588236,4,22965.09024390244,0,0.0,0,0.0,0
1198,15,22278.76,0,0.0,0,0.0,1,82483.11818181816,0,0.0,0,0.0,0
1199,15,32840.52,0,0.0,4,67404.30731707318,15,36140.42649006623,0,0.0,0,0.0,0
1200,15,22182.23,0,0.0,0,0.0,2,26061.876190476192,0,0.0,0,0.0,0
1203,15,105489.86,1,5557.263636363636,1,1339.3545454545454,3,28125.670967741935,0,0.0,0,0.0,0
1204,20,4527.35,9,29237.481318681323,5,6813.152941176471,2,15912.309523809523,0,0.0,0,0.0,0
1205,15,94017.25,3,55643.96129032257,5,27217.262745098044,14,42091.880851063834,0,0.0,0,0.0,0
1206,15,15719.48,111,23886.053285328526,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
1207,18,18527.655499999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1208,20,6020.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1211,15,134841.94,1,137611.52727272725,1,15927.381818181815,1,64644.43636363636,0,0.0,0,0.0,0
1212,15,3527.53,0,0.0,2,2278.461904761905,1,342.1363636363636,0,0.0,0,0.0,0
1213,20,5875.15,1,34641.08181818182,0,0.0,0,0.0,0,0.0,0,0.0,0
1215,20,70472.82029999999,0,0.0,0,0.0,5,32828.16666666667,0,0.0,0,0.0,0
1217,32,46305.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1218,15,30512.76,157,23732.962953532777,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
1219,15,14776.31,0,0.0,3,42673.98387096774,1,56121.590909090904,0,0.0,0,0.0,0
1220,15,1050.16,0,0.0,0,0.0,1,75528.93636363636,0,0.0,0,0.0,0
1222,15,1356.55,89,22845.106285072947,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
1223,15,7156.0,1,271.2090909090909,0,0.0,1,1086.7272727272727,0,0.0,0,0.0,0
1224,15,30368.48,134,24087.194630872473,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
1226,15,16496.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1227,15,21311.0,0,0.0,0,0.0,1,30380.854545454546,0,0.0,0,0.0,0
1228,15,4627.72,57,19296.73292469352,1,11085.927272727273,9,21682.39230769231,1,791.8272727272727,0,0.0,2
1229,15,38494.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1230,32,7730.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1231,12,46719.5985,2,151973.1857142857,0,0.0,0,0.0,0,0.0,0,0.0,0
1232,35,25835.82,2,9910.714285714284,1,14768.30909090909,7,29772.023943661974,0,0.0,0,0.0,0
