,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
208,15,19170.69,0,0.0,1,33059.781818181815,1,104058.4,0,0.0,0,0.0,0
209,15,98321.98,11,31224.552252252255,6,17617.65081967213,5,19066.343137254906,0,0.0,0,0.0,0
210,15,89474.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
211,15,1244.9,139,23882.06628324945,1,11085.927272727273,25,23626.40796812749,1,791.8272727272727,0,0.0,2
212,15,19496.39,0,0.0,1,5886.863636363636,0,0.0,0,0.0,0,0.0,0
213,15,136.08,0,0.0,2,28117.819047619047,4,69229.46097560978,0,0.0,0,0.0,0
216,10,20367.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
217,12,42.398399999999995,4,35739.81219512195,0,0.0,3,19043.287096774195,1,6162.818181818182,0,0.0,0
218,60,24643.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
219,15,20557.14,10,29876.434653465345,4,12959.068292682929,5,19066.343137254906,0,0.0,0,0.0,0
220,10,6961.7326,0,0.0,0,0.0,1,41607.55454545454,0,0.0,0,0.0,0
221,15,8301.45,0,0.0,2,47470.27619047619,1,23390.172727272726,0,0.0,0,0.0,0
222,15,15823.03,4,22928.37073170732,0,0.0,0,0.0,0,0.0,0,0.0,2
223,15,134457.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
224,15,3476.52,1,66110.07272727272,1,381.8181818181818,2,4049.47619047619,0,0.0,0,0.0,0
225,15,495.86,1,31866.20909090909,0,0.0,0,0.0,0,0.0,0,0.0,0
226,15,642.24,1,66110.07272727272,1,381.8181818181818,3,3864.6516129032257,0,0.0,0,0.0,0
227,15,16907.57,142,23754.39254046445,1,11085.927272727273,26,23470.657471264363,1,791.8272727272727,0,0.0,2
228,15,51147.1,1,54502.93636363636,2,11590.32857142857,2,26661.87619047619,0,0.0,0,0.0,0
230,21,6733.93,4,114.2048780487805,0,0.0,0,0.0,0,0.0,0,0.0,0
231,15,44952.8,78,22200.330217669652,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
232,13,49.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
233,65,72721.08,0,0.0,1,381.8181818181818,1,7081.872727272727,0,0.0,0,0.0,0
234,15,54073.74,1,5557.263636363636,0,0.0,1,9239.063636363635,0,0.0,0,0.0,0
235,15,3329.23,0,0.0,1,6863.018181818181,0,0.0,0,0.0,0,0.0,0
236,15,2416.07,173,23708.592720970533,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
238,15,3703.19,187,23970.869107429186,1,11085.927272727273,37,24627.481940700804,1,791.8272727272727,0,0.0,2
239,15,39293.61,60,19476.552079866884,1,11085.927272727273,11,22015.60900900901,1,791.8272727272727,0,0.0,2
240,10,40910.8644,0,0.0,1,80394.43636363636,3,180017.18064516128,0,0.0,0,0.0,0
241,15,26666.4,62,20161.621739130434,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
243,20,24209.83,1,2677.2454545454543,0,0.0,1,5473.136363636363,0,0.0,0,0.0,0
244,15,11523.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
245,18,67827.16889999999,1,87761.91818181818,0,0.0,5,32828.16666666667,0,0.0,0,0.0,0
246,15,7884.97,6,25662.603278688526,4,12959.068292682929,3,25472.81612903226,0,0.0,0,0.0,0
247,15,30162.79,141,23708.975124025503,1,11085.927272727273,26,23470.657471264363,1,791.8272727272727,0,0.0,2
248,12,1573.3544000000002,2,14658.885714285714,0,0.0,3,19043.287096774195,1,6162.818181818182,0,0.0,0
249,15,20217.6,0,0.0,0,0.0,2,9146.433333333332,0,0.0,0,0.0,0
250,15,23150.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
251,15,43371.16,21,15311.995260663502,0,0.0,5,20496.254901960787,1,791.8272727272727,0,0.0,2
